# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# FHN      = Laagste uurgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   FG,  FHX,  FHN
# 
  260,20150920,   25,   50,   10
  260,20150921,   36,   50,   20
  260,20150922,   28,   50,   10
  260,20150923,   24,   40,   10
  260,20150924,   35,   60,   20
  260,20150925,   17,   30,    0
  260,20150926,   17,   30,    0
  260,20150927,   23,   40,   10
  260,20150928,   20,   40,   10
  260,20150929,   38,   60,   10
  260,20150930,   41,   70,   20
  260,20151001,   32,   60,   10
  260,20151002,   24,   40,   10
  260,20151003,   14,   20,    0
  260,20151004,   15,   40,    0
  260,20151005,   30,   50,   10
  260,20151006,   25,   40,   10
  260,20151007,   34,   50,   20
  260,20151008,   21,   30,   10
  260,20151009,   13,   20,    0
  260,20151010,   33,   40,   20
  260,20151011,   41,   60,   20
  260,20151012,   27,   40,   20
  260,20151013,   34,   60,    0
  260,20151014,   23,   60,    0
  260,20151015,   17,   30,   10
  260,20151016,   17,   30,   10
  260,20151017,   15,   20,   10
  260,20151018,   12,   20,    0
  260,20151019,   16,   20,   10
  260,20151020,   17,   30,    0
  260,20151021,   33,   50,   10
  260,20151022,   31,   40,   10
  260,20151023,   21,   40,   10
  260,20151024,   24,   40,   20
  260,20151025,   15,   20,   10
  260,20151026,   32,   50,   10
  260,20151027,   26,   40,   20
  260,20151028,   27,   30,   10
  260,20151029,   21,   40,   10
  260,20151030,   28,   40,   20
  260,20151031,   31,   40,   20
  260,20151101,   15,   20,   10
  260,20151102,   17,   40,   10
  260,20151103,   20,   30,   10
  260,20151104,   31,   40,   20
  260,20151105,   33,   40,   20
  260,20151106,   47,   60,   30
  260,20151107,   49,   80,   30
  260,20151108,   36,   60,   10
  260,20151109,   58,   80,   40
  260,20151110,   62,   80,   50
  260,20151111,   49,   60,   40
  260,20151112,   37,   50,   30
  260,20151113,   54,   70,   40
  260,20151114,   51,   80,   40
  260,20151115,   75,   90,   50
  260,20151116,   59,   80,   40
  260,20151117,   66,  110,   40
  260,20151118,   80,  110,   40
  260,20151119,   58,   80,   40
  260,20151120,   34,   40,   30
  260,20151121,   32,   60,   10
  260,20151122,   25,   40,   10
  260,20151123,   29,   50,   10
  260,20151124,   60,   80,   40
  260,20151125,   23,   40,   10
  260,20151126,   17,   20,   10
  260,20151127,   43,   70,   20
  260,20151128,   60,  100,   30
  260,20151129,   73,  110,   50
  260,20151130,   61,   90,   30
  260,20151201,   33,   60,   10
  260,20151202,   48,   50,   40
  260,20151203,   46,   60,   30
  260,20151204,   55,   70,   30
  260,20151205,   73,   90,   60
  260,20151206,   65,   80,   40
  260,20151207,   31,   40,   20
  260,20151208,   44,   50,   30
  260,20151209,   39,   50,   20
  260,20151210,   55,   70,   40
  260,20151211,   50,   70,   30
  260,20151212,   54,  110,   20
  260,20151213,   24,   90,    0
  260,20151214,   26,   40,   20
  260,20151215,   24,   40,   10
  260,20151216,   42,   50,   30
  260,20151217,   44,   50,   30
  260,20151218,   43,   60,   30
  260,20151219,   43,   50,   30
  260,20151220,   46,   60,   40
  260,20151221,   68,  100,   40
  260,20151222,   78,   90,   50
  260,20151223,   58,   80,   30
  260,20151224,   55,   80,   40
  260,20151225,   51,   80,   30
  260,20151226,   67,   80,   50
  260,20151227,   57,   70,   40
  260,20151228,   37,   50,   20
  260,20151229,   33,   50,   20
  260,20151230,   55,   80,   30
  260,20151231,   53,   80,   40
