# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,   TG,   NG
# 
  260,20161117,   53,   93,    8
  260,20161118,   55,   60,    7
  260,20161119,   48,   58,    7
  260,20161120,   73,   84,    8
  260,20161121,   45,  120,    8
  260,20161122,   45,  110,    8
  260,20161123,   27,   79,    8
  260,20161124,   58,   66,    8
  260,20161125,   40,   33,    6
  260,20161126,   10,   -1,    7
  260,20161127,   20,   56,    6
  260,20161128,   28,   -3,    0
  260,20161129,   11,  -31,    0
  260,20161130,   25,   20,    8
  260,20161201,   31,   79,    8
  260,20161202,   20,   52,    5
  260,20161203,    8,   -1,    4
  260,20161204,   24,  -14,    0
  260,20161205,   14,  -27,    2
  260,20161206,   19,    1,    6
  260,20161207,   38,   63,    8
  260,20161208,   45,   82,    8
  260,20161209,   40,   91,    8
  260,20161210,   43,   78,    8
  260,20161211,   38,   85,    7
  260,20161212,   20,   53,    7
  260,20161213,   28,   66,    8
  260,20161214,   23,   73,    8
  260,20161215,   40,   65,    8
  260,20161216,   30,   54,    7
  260,20161217,   18,   61,    8
  260,20161218,   20,   62,    8
  260,20161219,   23,   43,    5
  260,20161220,   22,   -6,    3
  260,20161221,   46,   41,    7
  260,20161222,   34,   59,    7
  260,20161223,   54,   60,    8
  260,20161224,   50,   79,    8
  260,20161225,   61,  104,    8
  260,20161226,   55,   83,    4
  260,20161227,   28,   66,    5
  260,20161228,   15,   10,    6
  260,20161229,   18,  -22,    8
  260,20161230,   22,  -11,    8
  260,20161231,   34,   18,    8
